comment,likes,dislikes
민정게이 축알못아... 마루는 수미다....,12110,174
민정이 마루랑 피파하면서 뭔갈 깨달았다고 생각했겠지만 민정아 그건 굴리또였어...,6647,18
축알못이라 그런데 수미가 수비형미드필더임?,3696,35
"민정이 지금 속으로
'아니 생각만 해본다고ㅋㅋㅋ'
이러고 있다에 한표ㅋㅋㅋㅋ",3326,21
"저거 탐욕 부리다 경기 망치고 내부 분열 생긴다 이제ㅋㅋㅋ
민정 눈나 작전이네 이거",1919,11
"이거 작가님이 이전에 마루 '나는 왜 미드필더 하고있을까 공격수가 하고싶은데'라고 생각했던거 떡밥 회수하는 듯

민정이 사연들은 팀원들하고 감독이 마루 공격수로 넣어서 볼 몰아주고 이기게되고 마루가 이번 기회를 통해서 공격수의 재능을 볼 수 있는 계기가 될 것 같음

개인적으로 민정이랑 잘됐으면 좋겠다",1067,15
작가님 다음화 마루 해트트릭 하는거죠?,855,3
휴지 준 은혜른 저딴식으로 갚아? 휴지 쓸 자격도 없다,742,5
"다음주 월요일 파주 1사단에 입대합니다..

축구 경기 보고 가고 싶었습니다...

쿠키 충전하고 갈테니 5주뒤에 카타르시스 느끼게 부탁드립니다...",390,17
